Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Jaas VÃ¤Ã¤rtnÃµu,0.6818181818181818,31.7,6.5,0.1,1.0,2.4,10.6,1.9,1.9,0.5,1.2,1.5,14.1,17.1,0.636,225.0,0
JosÃ© Alberto Moura,1.0,35.1,5.3,1.0,2.3,0.6,2.7,3.1,1.2,0.8,0.1,1.3,13.9,15,0.409,83.0,0
Moses Main,0.9545454545454546,37.0,5.4,0.0,2.7,3.0,11.8,3.6,1.3,0.6,0.6,2.3,13.5,15.6,0.591,163.0,1
Gytis Baleckas,0.7727272727272727,36.3,5.8,0.1,1.7,1.5,5.8,3.6,1.0,1.6,0.2,1.3,13.4,15.4,0.455,162.0,0
Norbert Struszczyk,0.9545454545454546,35.5,5.4,0.5,1.9,1.7,6.5,3.3,1.1,1.0,0.7,2.8,13.3,16.4,0.727,470.0,0
Chung Hee Jun,1.0,37.5,4.9,0.4,2.9,1.0,4.1,4.2,1.0,0.9,0.3,2.3,13.1,14.4,0.8640000000000001,475.0,3
Krasimir Rusetzki,0.9545454545454546,35.3,5.1,0.4,2.4,1.1,4.1,2.5,1.2,1.1,0.5,2.4,13.1,15.7,0.727,470.0,0
Rodion Pimkin,1.0,22.4,5.2,0.4,2.2,1.5,7.2,1.1,1.3,0.5,0.9,1.9,13.0,16.9,0.273,-103.0,0
ElÃ­as Gastia,0.7727272727272727,31.3,4.8,1.1,2.2,0.9,3.9,2.5,0.8,1.4,0.4,1.3,12.9,16.2,0.591,133.0,0
Auram Ravinski,0.7727272727272727,37.1,4.6,0.3,3.4,0.5,2.2,6.8,0.9,1.4,0.2,2.6,12.9,16.9,0.773,596.0,0
Sean Dailey,0.6818181818181818,31.3,5.3,0.9,1.3,1.1,5.2,3.2,0.7,0.9,0.3,2.2,12.9,14.9,0.364,-323.0,0
Sammie Donnelly,0.9090909090909091,32.4,4.8,0.8,2.4,0.7,2.6,3.2,1.2,1.0,0.3,1.3,12.8,15.9,0.591,133.0,0
